S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
172,Malla Reddy Medical College for Women,IAP-CPR-Day/Venue/TG-103,Hyderabad,Telangana,TG,Dr Sumapriya M
173,Yashoda Hospitals,IAP-CPR-Day/Venue/TG-104,Hyderabad,Telangana,TG,Dr Nayani Sridevi
174,Gomti District Hospital,IAP-CPR-Day/Venue/TR-101,Agartala,Tripura,TR,Dr Abhijeet Dutta
175,"Govt. Medical College, Agartala",IAP-CPR-Day/Venue/TR-102,Agartala,Tripura,TR,Dr Chaiyan Chakma
176,Delhi Public School,IAP-CPR-Day/Venue/UP-101,Agra,Uttar Pradesh,UP,Dr Sonia Bhatt
177,"F.H. Medical College & Hospital, Etmadpur, Agra",IAP-CPR-Day/Venue/UP-102,Agra,Uttar Pradesh,UP,Dr Shehraz Firoz
178,Rajkamal Inter College,IAP-CPR-Day/Venue/UP-103,Agra,Uttar Pradesh,UP,Dr R N Sharma
179,"Government Inter College, Bareilly",IAP-CPR-Day/Venue/UP-104,Bareilly,Uttar Pradesh,UP,Dr Preeti Lata Rai
180,"Rajkiya Balika High School, Ahiladpur, Bareilly",IAP-CPR-Day/Venue/UP-105,Bareilly,Uttar Pradesh,UP,Dr Anita Kumari
181,"Rajkiya Balika High School, Bareilly",IAP-CPR-Day/Venue/UP-106,Bareilly,Uttar Pradesh,UP,Dr Anita Kumari
182,"Rajkiya Inter College, Ballipur, Bareilly",IAP-CPR-Day/Venue/UP-107,Bareilly,Uttar Pradesh,UP,Dr Preeti Lata Rai
183,"Kailashwati Inter College, Arthla",IAP-CPR-Day/Venue/UP-108,Ghaziabad,Uttar Pradesh,UP,Dr Rajeev Kumar
184,"St. Thomas School, Sahibabad, Ghaziabad",IAP-CPR-Day/Venue/UP-109,Ghaziabad,Uttar Pradesh,UP,Dr Rajeev Kumar
185,Saraswati Balika Vidya Mandir,IAP-CPR-Day/Venue/UP-110,Jhansi,Uttar Pradesh,UP,Dr Sapna Gupta
186,"Regency Hospital, Kanpur",IAP-CPR-Day/Venue/UP-111,Kanpur Nagar,Uttar Pradesh,UP,Dr C P Singh
187,"Girls' High School & College, Prayagraj",IAP-CPR-Day/Venue/UP-112,Prayagraj,Uttar Pradesh,UP,Dr Ritu Gupta
188,"Government Doon Medical College, Dehradun",IAP-CPR-Day/Venue/UK-101,Dehradun,Uttarakhand,UK,Dr Ashok Kumar
189,"Himalayan Institute of Medical Sciences, Dehradun",IAP-CPR-Day/Venue/UK-102,Dehradun,Uttarakhand,UK,Dr Ashish Simalti
190,"Meher Hospital, Dehradun",IAP-CPR-Day/Venue/UK-103,Dehradun,Uttarakhand,UK,Dr Hans Vaish
191,Sahota Super Speciality Hospital,IAP-CPR-Day/Venue/UK-104,Kashipur,Uttarakhand,UK,Dr Sahota
192,Esi Hospital,IAP-CPR-Day/Venue/WB-101,Asansol,West Bengal,WB,Mrs Purnima Chakraborty; Mrs Bani Misra; Mrs Arpita Sen; Mrs Suteshna Mandal; Dr Jaygopal Ray
193,"Esi Hospital, Bandel",IAP-CPR-Day/Venue/WB-102,Bandel,West Bengal,WB,Dr A Majumder
194,Eastern Railway Hospital Liluah,IAP-CPR-Day/Venue/WB-103,Howrah,West Bengal,WB,Dr Shilpi Siddhanta
