SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
21482,404369,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,EWS
21483,404392,Self-Financed Merit,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",Open,General
21485,404434,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21486,404465,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,General
21487,404611,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507",SC PwD,SC PwD
21488,404633,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21489,404675,Self-Financed Merit,"Chettinad Hospital & Research Institute, Kanchipuram,Rajiv Gandhi Salai,",Open,General
21490,404679,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,SC
21491,404695,Self-Financed Merit,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",Open,General
21492,404707,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,General
21494,404811,Self-Financed Merit,"Faculty of Medicine , Sri Lalithambigai Medical College and Hospital,Faculty of Medicine",Open,OBC
21495,404984,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,SC
21496,404997,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21497,405127,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21498,405184,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21499,405273,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21500,405282,Self-Financed Merit,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",Open,General
21501,405308,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21502,405325,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21503,405395,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,EWS
21504,405406,Self-Financed Merit,"GITAM Institute of Medical Sciences and Research, Visakhapatnam,Gandhi Institute of",Open,General
21505,405439,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21506,405560,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,OBC
21507,405566,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,OBC
21508,405585,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,SC
