State,InstituteType,MCCCode,MCCInstitute,Quota,SeatCategory,SeatsOfferedR1,SeatsAllottedR1,NetDifference,FillRate,BestAIR,Q1AIR,MedianAIR,Q3AIR,HighestAIR
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,EWS,7,7,0,1.0,2279,2321.5,2370.0,2692.5,2889
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,OBC,20,20,0,1.0,2072,2364.0,2661.0,2795.5,2892
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,OBC PwD,1,1,0,1.0,269496,269496.0,269496.0,269496.0,269496
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,Open,29,29,0,1.0,371,1412.0,1662.0,1871.0,2039
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,Open PwD,2,2,0,1.0,161837,178321.0,194805.0,211289.0,227773
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,SC,11,11,0,1.0,12186,14402.0,16116.0,18205.0,20222
Gujarat,All India Institute Of Medical Science(AIIMS),200520,"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand",Open Seat Quota,ST,5,5,0,1.0,24802,29102.0,29480.0,29703.0,31646
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,EWS,12,12,0,1.0,943,1189.0,1390.5,1522.5,1660
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,OBC,32,32,0,1.0,796,966.5,1111.5,1171.25,1233
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,OBC PwD,2,2,0,1.0,143115,159107.0,175099.0,191091.0,207083
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,Open,49,49,0,1.0,80,327.0,462.0,613.0,664
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,Open PwD,2,2,0,1.0,12977,19008.0,25039.0,31070.0,37101
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,SC,19,19,0,1.0,954,2677.5,3767.0,4540.5,5396
Odisha,All India Institute Of Medical Science(AIIMS),200504,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",Open Seat Quota,ST,9,9,0,1.0,1504,5142.0,9221.0,10219.0,10926
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,EWS,10,10,0,1.0,2487,2787.75,3040.5,3068.25,3180
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,OBC,25,25,0,1.0,1712,1968.0,2295.0,2471.0,2592
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,OBC PwD,2,2,0,1.0,179361,185005.0,190649.0,196293.0,201937
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,Open,39,39,0,1.0,668,1340.5,1454.0,1622.0,1705
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,Open PwD,2,2,0,1.0,84695,85533.25,86371.5,87209.75,88048
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,SC,14,14,0,1.0,4258,12527.75,14903.0,16783.25,17543
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,SC PwD,1,1,0,1.0,365084,365084.0,365084.0,365084.0,365084
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,ST,6,6,0,1.0,4788,20659.0,23076.5,24256.5,28792
Telangana,All India Institute Of Medical Science(AIIMS),200517,"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126",Open Seat Quota,ST PwD,1,1,0,1.0,261779,261779.0,261779.0,261779.0,261779
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,EWS,13,13,0,1.0,3605,3983.0,4176.0,4370.0,4569
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,OBC,31,31,0,1.0,3171,3318.0,3485.0,3702.5,3771
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,OBC PwD,2,2,0,1.0,281181,284723.0,288265.0,291807.0,295349
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,Open,48,48,0,1.0,901,2625.0,2843.5,2991.5,3090
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,Open PwD,3,3,0,1.0,225935,232656.5,239378.0,247796.5,256215
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,SC,18,18,0,1.0,18915,22695.5,24034.0,24787.0,25371
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,SC PwD,1,1,0,1.0,485836,485836.0,485836.0,485836.0,485836
Jharkhand,All India Institute Of Medical Science(AIIMS),200512,"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152",Open Seat Quota,ST,9,9,0,1.0,37277,38480.0,39511.0,39773.0,40599
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,EWS,11,11,0,1.0,2458,2825.5,2914.0,2977.0,3085
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,EWS PwD,1,1,0,1.0,189449,189449.0,189449.0,189449.0,189449
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,OBC,32,32,0,1.0,2149,2221.75,2345.5,2399.75,2443
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,OBC PwD,1,1,0,1.0,133375,133375.0,133375.0,133375.0,133375
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,Open,48,48,0,1.0,903,1646.0,1811.0,1989.25,2114
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,Open PwD,3,3,0,1.0,67177,84730.0,102283.0,106241.0,110199
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,SC,18,18,0,1.0,5040,14006.75,16729.0,18083.0,19159
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,SC PwD,1,1,0,1.0,488861,488861.0,488861.0,488861.0,488861
